,epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,1,2.6252 ,1.0000e-04,2.6252 ,41.8587 ,-0.0776 ,2.4245 ,2.4245 ,36.8395 ,0.0241 
0,2,2.4861 ,1.0000e-04,2.4861 ,40.2026 ,0.0175 ,2.3723 ,2.3723 ,35.3212 ,0.0559 
0,3,2.4410 ,1.0000e-04,2.4410 ,39.2384 ,0.0461 ,2.3546 ,2.3546 ,34.5579 ,0.0654 
0,4,2.4106 ,1.0000e-04,2.4106 ,38.5596 ,0.0647 ,2.3379 ,2.3379 ,36.5527 ,0.1048 
0,5,2.4010 ,1.0000e-04,2.4010 ,38.4725 ,0.0725 ,2.3320 ,2.3320 ,35.7062 ,0.0995 
0,6,2.3858 ,1.0000e-04,2.3858 ,37.9521 ,0.0801 ,2.3257 ,2.3257 ,34.6403 ,0.0941 
0,7,2.3734 ,1.0000e-04,2.3734 ,37.9475 ,0.0895 ,2.3198 ,2.3198 ,35.6335 ,0.1100 
0,8,2.3608 ,1.0000e-04,2.3608 ,37.6168 ,0.0976 ,2.3168 ,2.3168 ,36.2265 ,0.1207 
0,9,2.3622 ,1.0000e-04,2.3622 ,37.7829 ,0.0991 ,2.3204 ,2.3204 ,36.7731 ,0.1236 
0,10,2.3529 ,1.0000e-04,2.3529 ,37.6644 ,0.1045 ,2.3176 ,2.3176 ,37.0328 ,0.1305 
0,11,2.3581 ,1.0000e-04,2.3581 ,37.6143 ,0.1010 ,2.3128 ,2.3128 ,36.3422 ,0.1253 
0,12,2.3472 ,1.0000e-04,2.3472 ,37.5344 ,0.1105 ,2.3098 ,2.3098 ,36.0150 ,0.1239 
0,13,2.3455 ,1.0000e-04,2.3455 ,37.3803 ,0.1088 ,2.3113 ,2.3113 ,36.0862 ,0.1221 
0,14,2.3367 ,1.0000e-04,2.3367 ,37.3746 ,0.1133 ,2.3080 ,2.3080 ,36.2579 ,0.1288 
0,15,2.3432 ,1.0000e-04,2.3432 ,37.4876 ,0.1137 ,2.3085 ,2.3085 ,36.0648 ,0.1255 
0,16,2.3389 ,1.0000e-04,2.3389 ,37.4930 ,0.1171 ,2.3072 ,2.3072 ,35.8918 ,0.1244 
0,17,2.3382 ,1.0000e-04,2.3382 ,37.4264 ,0.1176 ,2.3078 ,2.3078 ,36.2260 ,0.1273 
0,18,2.3200 ,1.0000e-04,2.3200 ,38.0509 ,0.1573 ,2.3046 ,2.3046 ,45.0904 ,0.2761
0,19,2.2462 ,1.0000e-04,2.2462 ,37.0727 ,0.2182 ,2.2581 ,2.2581 ,41.4055 ,0.2490
0,20,2.2082 ,1.0000e-04,2.2082 ,36.4617 ,0.2480 ,2.2753 ,2.2753 ,47.5263 ,0.3471
0,21,2.1677 ,1.0000e-04,2.1677 ,36.1928 ,0.2815 ,2.2013 ,2.2013 ,41.7449 ,0.3088
0,22,2.1413 ,1.0000e-04,2.1413 ,35.8643 ,0.3046 ,2.6615 ,2.6615 ,62.8049 ,0.2667
0,23,2.1049 ,1.0000e-04,2.1049 ,35.2752 ,0.3307 ,2.1572 ,2.1572 ,45.4892 ,0.4288
0,24,2.0911 ,1.0000e-04,2.0911 ,35.0718 ,0.3464 ,2.1553 ,2.1553 ,32.0030 ,0.2154
0,25,2.0625 ,1.0000e-04,2.0625 ,34.7013 ,0.3656 ,1.9847 ,1.9847 ,33.7263 ,0.4087
0,26,2.0412 ,1.0000e-04,2.0412 ,34.6957 ,0.3805 ,2.1345 ,2.1345 ,46.9460 ,0.4791
0,27,2.0193 ,1.0000e-04,2.0193 ,34.5530 ,0.4051 ,2.2023 ,2.2023 ,32.1656 ,0.1692
0,28,2.0055 ,1.0000e-04,2.0055 ,34.1172 ,0.4084 ,2.0114 ,2.0114 ,39.4790 ,0.4718
0,29,1.9758 ,1.0000e-04,1.9758 ,33.9104 ,0.4336 ,1.9808 ,1.9808 ,32.3398 ,0.3963
0,30,1.9521 ,1.0000e-04,1.9521 ,33.5343 ,0.4500 ,2.1403 ,2.1403 ,34.6184 ,0.2671
0,31,1.9452 ,1.0000e-04,1.9452 ,33.4281 ,0.4566 ,1.9941 ,1.9941 ,32.2922 ,0.3840
0,32,1.9327 ,1.0000e-04,1.9327 ,33.3415 ,0.4643 ,2.0697 ,2.0697 ,31.1516 ,0.2951
0,33,1.8988 ,1.0000e-04,1.8988 ,33.0568 ,0.4902 ,1.9585 ,1.9585 ,30.0049 ,0.4148
0,34,1.8882 ,1.0000e-04,1.8882 ,32.7078 ,0.4961 ,1.9313 ,1.9313 ,32.7100 ,0.4524
0,35,1.8660 ,1.0000e-04,1.8660 ,32.6091 ,0.5070 ,1.8663 ,1.8663 ,33.5994 ,0.5175
0,36,1.8562 ,1.0000e-04,1.8562 ,32.4251 ,0.5154 ,1.8887 ,1.8887 ,31.6295 ,0.4762
0,37,1.8341 ,1.0000e-04,1.8341 ,32.0699 ,0.5263 ,1.8498 ,1.8498 ,33.9931 ,0.5341
0,38,1.8238 ,1.0000e-04,1.8238 ,31.9436 ,0.5346 ,1.8629 ,1.8629 ,36.0041 ,0.5551
0,39,1.8104 ,1.0000e-04,1.8104 ,32.0352 ,0.5482 ,1.8432 ,1.8432 ,40.5182 ,0.6116
0,40,1.8008 ,1e-05,1.8008 ,31.7440 ,0.5498 ,1.9089 ,1.9089 ,35.3411 ,0.5058
0,41,1.7672 ,1e-05,1.7672 ,31.3604 ,0.5673 ,1.7787 ,1.7787 ,29.5695 ,0.5471
0,42,1.7671 ,1e-05,1.7671 ,31.5040 ,0.5749 ,1.8812 ,1.8812 ,30.4033 ,0.4738
0,43,1.7514 ,1e-05,1.7514 ,31.3123 ,0.5792 ,1.7984 ,1.7984 ,38.7311 ,0.6312
0,44,1.7457 ,1e-05,1.7457 ,30.9691 ,0.5814 ,1.8387 ,1.8387 ,38.5397 ,0.6090
0,45,1.7356 ,1e-05,1.7356 ,31.1494 ,0.5909 ,1.8072 ,1.8072 ,32.3073 ,0.5605
0,46,1.7356 ,1e-05,1.7356 ,31.0044 ,0.5879 ,1.7940 ,1.7940 ,39.4804 ,0.6384
0,47,1.7138 ,1e-05,1.7138 ,30.5410 ,0.6009 ,1.8782 ,1.8782 ,29.7175 ,0.4744
0,48,1.7165 ,1e-05,1.7165 ,30.6718 ,0.5982 ,1.7123 ,1.7123 ,33.7410 ,0.6340
0,49,1.6998 ,1e-05,1.6998 ,30.5929 ,0.6130 ,1.7538 ,1.7538 ,31.8822 ,0.5922
0,50,1.6887 ,1e-05,1.6887 ,30.4025 ,0.6154 ,1.9073 ,1.9073 ,28.0051 ,0.4545
0,51,1.6819 ,1e-05,1.6819 ,30.2936 ,0.6165 ,1.8711 ,1.8711 ,28.1077 ,0.4793
0,52,1.6767 ,1e-05,1.6767 ,30.3188 ,0.6218 ,1.7711 ,1.7711 ,35.5484 ,0.6187
0,53,1.6694 ,1e-05,1.6694 ,29.9697 ,0.6258 ,1.6860 ,1.6860 ,34.0673 ,0.6581
0,54,1.6518 ,1e-05,1.6518 ,29.8081 ,0.6322 ,1.7652 ,1.7652 ,28.3914 ,0.5575
0,55,1.6503 ,1e-05,1.6503 ,29.8695 ,0.6382 ,1.7153 ,1.7153 ,35.3810 ,0.6480
0,56,1.6581 ,1e-05,1.6581 ,29.9967 ,0.6272 ,1.6581 ,1.6581 ,29.7783 ,0.6306
0,57,1.6464 ,1e-05,1.6464 ,29.8102 ,0.6383 ,1.7016 ,1.7016 ,29.7921 ,0.6107
0,58,1.6410 ,1e-05,1.6410 ,29.7576 ,0.6420 ,1.6493 ,1.6493 ,30.7967 ,0.6510
0,59,1.6343 ,1e-05,1.6343 ,29.7621 ,0.6423 ,1.6270 ,1.6270 ,30.3364 ,0.6524
0,60,1.6281 ,1e-05,1.6281 ,29.7510 ,0.6488 ,1.6577 ,1.6577 ,32.6993 ,0.6526
0,61,1.6158 ,1e-05,1.6158 ,29.2704 ,0.6524 ,1.6715 ,1.6715 ,30.5124 ,0.6368
0,62,1.6115 ,1e-05,1.6115 ,29.2404 ,0.6505 ,1.6249 ,1.6249 ,32.8919 ,0.6848
0,63,1.6134 ,1e-05,1.6134 ,29.3841 ,0.6530 ,1.6687 ,1.6687 ,30.4075 ,0.6379
0,64,1.6081 ,1e-05,1.6081 ,29.2443 ,0.6482 ,1.7290 ,1.7290 ,29.0851 ,0.5843
0,65,1.6018 ,1e-06,1.6018 ,29.3005 ,0.6574 ,1.6331 ,1.6331 ,29.7494 ,0.6459
0,66,1.6019 ,1e-06,1.6019 ,29.2438 ,0.6590 ,1.8064 ,1.8064 ,28.0467 ,0.5406
0,67,1.5964 ,1e-06,1.5964 ,29.1301 ,0.6614 ,1.8785 ,1.8785 ,43.7481 ,0.6194
0,68,1.5849 ,1e-06,1.5849 ,29.1622 ,0.6665 ,1.7290 ,1.7290 ,37.1509 ,0.6624
0,69,1.5820 ,1e-06,1.5820 ,29.1432 ,0.6714 ,1.6688 ,1.6688 ,34.5563 ,0.6694
0,70,1.5844 ,1e-06,1.5844 ,28.7950 ,0.6682 ,1.8104 ,1.8104 ,38.9863 ,0.6231
